t_s,enc_x_deg,acc_x_deg,enc_y_deg,acc_y_deg,axW,ayW,azW,a_belt,v_belt,cmd_sps_x,cmd_dir_x,cmd_vel_x,steps_x,cmd_sps_y,cmd_dir_y,cmd_vel_y,steps_y,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
1.41587,90.615,-363.428,338.818,-683.877,-0.374,-0.654,-0.101,-0.654,0.081,122.9,-1,-122.9,405,1328.5,-1,-1328.5,-760,1.399,53.072,13.393,1.288,0.109,116.951,9.902
1.43607,95.537,-358.506,316.143,-706.553,-0.381,-1.095,0.020,-1.095,0.064,188.1,-1,-188.1,399,1301.9,-1,-1301.9,-786,1.414,54.702,13.727,1.630,0.333,156.403,32.004
1.45627,100.547,-353.496,295.576,-727.119,-0.130,-1.011,-0.035,-1.011,0.044,279.8,-1,-279.8,393,1223.3,-1,-1223.3,-809,1.436,56.995,14.708,1.308,0.283,108.338,23.467
1.47498,104.941,-349.102,277.207,-745.488,0.017,-1.448,-0.122,-1.448,0.018,331.4,-1,-331.4,388,1147.0,-1,-1147.0,-829,1.460,58.286,15.663,0.229,0.362,20.618,32.442
1.49518,110.039,-344.004,257.607,-765.088,0.028,-1.247,-0.048,-1.247,-0.010,308.6,-1,-308.6,382,1079.0,-1,-1079.0,-851,1.470,57.714,16.512,-0.572,0.850,-51.217,76.045
1.51539,115.400,-338.643,238.447,-784.248,0.002,-1.226,0.032,-1.226,-0.035,282.7,-1,-282.7,376,1034.7,-1,-1034.7,-872,1.490,57.067,17.066,-0.895,0.633,-94.076,66.522
1.53557,120.762,-333.281,220.693,-802.002,-0.163,-1.192,0.028,-1.192,-0.061,265.7,-1,-265.7,370,1003.2,-1,-1003.2,-891,1.502,56.642,17.460,-0.425,0.394,-36.128,33.499
1.55577,126.387,-327.656,202.939,-819.756,-0.198,-0.972,0.173,-0.972,-0.082,175.8,-1,-175.8,364,970.4,-1,-970.4,-910,1.536,54.394,17.870,-1.470,0.556,-145.504,55.052
1.57596,132.012,-322.031,185.889,-836.807,-0.285,-0.824,0.105,-0.824,-0.102,137.0,-1,-137.0,358,958.4,-1,-958.4,-928,1.555,53.426,18.020,-0.969,0.150,-50.707,7.830
1.59615,133.418,-320.625,170.947,-851.748,-0.166,-0.080,0.132,-0.080,-0.109,0.0,-1,0.0,356,911.5,-1,-911.5,-944,1.578,50.487,18.606,-1.900,0.194,-151.872,15.537
1.61773,133.506,-320.537,153.545,-869.150,-0.047,-0.238,0.129,-0.238,-0.113,0.0,1,0.0,356,865.5,-1,-865.5,-963,1.601,47.400,19.182,-1.962,0.455,-184.202,42.678
1.63573,130.166,-323.877,140.273,-882.422,0.007,-0.162,0.008,-0.162,-0.116,251.7,1,251.7,359,865.1,-1,-865.1,-977,1.617,43.708,19.186,-1.708,-0.146,-153.720,-13.203
1.65594,124.717,-329.326,126.563,-896.133,0.095,0.517,-0.019,0.517,-0.105,297.9,1,297.9,365,844.5,-1,-844.5,-992,1.633,42.552,19.443,-1.157,0.257,-83.174,18.482
1.67465,118.828,-335.215,114.697,-907.998,0.001,0.560,0.004,0.560,-0.095,428.7,1,428.7,371,786.8,-1,-786.8,-1005,1.650,39.283,20.165,-1.307,0.203,-107.566,16.729
1.69485,112.061,-341.982,102.217,-920.479,0.063,0.493,0.068,0.493,-0.085,520.9,1,520.9,379,786.8,-1,-786.8,-1019,1.669,36.977,20.165,-2.306,0.000,-183.061,0.000
1.71504,105.029,-349.014,90.000,-932.695,0.040,0.833,-0.025,0.833,-0.070,565.9,1,565.9,387,777.7,-1,-777.7,-1033,1.692,35.853,20.279,-1.123,0.115,-48.816,4.993
1.73523,97.031,-357.012,77.520,-945.176,-0.022,1.038,0.009,1.038,-0.051,684.8,1,684.8,397,765.5,-1,-765.5,-1047,1.716,32.879,20.431,-1.285,0.501,-97.132,37.899
1.75543,85.869,-368.174,65.654,-957.041,-0.058,0.937,-0.019,0.937,-0.032,795.3,1,795.3,411,751.1,-1,-751.1,-1061,1.737,30.118,20.611,-1.353,0.179,-118.062,15.627
1.77563,74.795,-379.248,52.998,-969.697,-0.094,1.089,0.001,1.089,-0.012,845.3,1,845.3,425,774.5,-1,-774.5,-1075,1.748,28.869,20.319,-1.250,-0.290,-103.746,-24.153
1.79584,63.105,-390.937,41.045,-981.650,-0.061,1.098,-0.076,1.098,0.011,919.6,1,919.6,441,768.9,-1,-768.9,-1089,1.775,27.009,20.388,-0.709,0.231,-60.098,19.523
1.81455,51.240,-402.803,29.268,-993.428,-0.010,1.022,-0.120,1.022,0.031,909.5,1,909.5,456,720.3,-1,-720.3,-1102,1.796,27.263,20.996,0.187,0.753,17.872,72.000
1.83475,38.320,-415.723,17.402,-1005.293,-0.053,0.692,-0.099,0.692,0.047,905.7,1,905.7,471,720.3,-1,-720.3,-1116,1.807,27.357,20.996,0.094,0.000,7.434,0.000
1.85495,24.697,-429.346,5.889,-1016.807,0.160,0.804,-0.016,0.804,0.062,860.7,1,860.7,487,654.6,-1,-654.6,-1129,1.833,28.481,21.817,0.283,0.445,27.441,43.141
1.87514,11.338,-442.705,356.924,-1025.771,0.168,0.546,-0.023,0.546,0.075,790.5,1,790.5,501,621.5,-1,-621.5,-1139,1.854,30.236,22.232,0.275,0.414,24.702,37.202
1.89534,357.803,-456.240,348.223,-1034.473,0.005,0.518,-0.017,0.518,0.086,730.0,1,730.0,515,653.8,-1,-653.8,-1149,1.868,31.750,21.827,1.513,-0.405,99.585,-26.606
1.91554,344.619,-469.424,339.961,-1042.734,-0.096,0.388,-0.027,0.388,0.095,586.8,1,586.8,527,591.4,-1,-591.4,-1158,1.897,35.329,22.608,2.398,0.093,171.724,6.616
1.93425,336.094,-477.949,332.402,-1050.293,-0.124,0.444,-0.019,0.444,0.101,557.5,1,557.5,536,596.8,-1,-596.8,-1167,1.910,36.062,22.540,0.732,-0.068,53.062,-4.880
1.95446,327.744,-486.299,324.492,-1058.203,-0.205,0.309,-0.026,0.309,0.108,429.4,1,429.4,543,572.1,-1,-572.1,-1176,1.933,39.265,22.849,1.209,0.161,109.912,14.580
1.97466,321.152,-492.891,316.670,-1066.025,-0.027,0.153,0.040,0.153,0.112,293.1,1,293.1,550,536.2,-1,-536.2,-1185,1.954,42.672,23.298,1.589,0.139,130.849,11.438
