t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
2.520443,128.7598,-129.287109,0,0.0000,500.00,-1,-500.00
2.521444,129.4629,-128.583984,0,0.0000,500.00,-1,-500.00
2.522445,129.9902,-128.056641,0,0.0000,500.00,-1,-500.00
2.523446,130.1660,-127.880859,0,0.0000,500.00,-1,-500.00
2.524447,130.6934,-127.353516,0,0.0000,500.00,-1,-500.00
2.525448,131.3965,-126.650391,0,0.0000,500.00,-1,-500.00
2.526449,131.8359,-126.210937,0,0.0000,500.00,-1,-500.00
2.527450,132.0996,-125.947266,0,0.0000,500.00,-1,-500.00
2.528451,132.5391,-125.507812,0,0.0000,500.00,-1,-500.00
2.529452,133.1543,-124.892578,0,0.0000,500.00,-1,-500.00
2.530453,133.7695,-124.277344,0,0.0000,500.00,-1,-500.00
2.531454,133.9453,-124.101562,0,0.0000,500.00,-1,-500.00
2.532455,134.3848,-123.662109,0,0.0000,500.00,-1,-500.00
2.533456,135.0879,-122.958984,0,0.0000,500.00,-1,-500.00
2.534457,135.5273,-122.519531,0,0.0000,500.00,-1,-500.00
2.535458,135.7910,-122.255859,0,0.0000,500.00,-1,-500.00
2.536459,136.3184,-121.728516,0,0.0000,500.00,-1,-500.00
2.537460,136.9336,-121.113281,0,0.0000,500.00,-1,-500.00
2.538461,137.4609,-120.585937,0,0.0000,500.00,-1,-500.00
2.539462,137.6367,-120.410156,0,0.0000,500.00,-1,-500.00
2.540463,138.0762,-119.970703,0,0.0000,500.00,-1,-500.00
2.541464,138.7793,-119.267578,0,0.0000,500.00,-1,-500.00
2.542465,139.2187,-118.828125,0,0.0000,500.00,-1,-500.00
2.543466,139.5703,-118.476562,0,0.0000,500.00,-1,-500.00
2.544467,140.0098,-118.037109,0,0.0000,500.00,-1,-500.00
2.545468,140.6250,-117.421875,0,0.0000,500.00,-1,-500.00
2.546469,141.1523,-116.894531,0,0.0000,500.00,-1,-500.00
2.547470,141.5039,-116.542969,0,0.0000,500.00,-1,-500.00
2.548471,141.8555,-116.191406,0,0.0000,500.00,-1,-500.00
2.549472,142.6465,-115.400391,0,0.0000,500.00,-1,-500.00
2.550473,143.1738,-114.873047,0,0.0000,500.00,-1,-500.00
2.551474,143.3496,-114.697266,0,0.0000,500.00,-1,-500.00
2.552475,143.7891,-114.257812,0,0.0000,500.00,-1,-500.00
2.553476,144.4043,-113.642578,0,0.0000,500.00,-1,-500.00
2.554477,145.0195,-113.027344,0,0.0000,500.00,-1,-500.00
2.555478,145.1953,-112.851562,0,0.0000,500.00,-1,-500.00
2.556479,145.6348,-112.412109,0,0.0000,500.00,-1,-500.00
2.557480,146.3379,-111.708984,0,0.0000,500.00,-1,-500.00
2.558481,146.8652,-111.181641,0,0.0000,500.00,-1,-500.00
2.559482,147.0410,-111.005859,0,0.0000,500.00,-1,-500.00
2.560483,147.4805,-110.566406,0,0.0000,500.00,-1,-500.00
2.567998,151.1719,-106.875000,0,0.0000,500.00,-1,-500.00
2.568998,151.6992,-106.347656,0,0.0000,500.00,-1,-500.00
2.569999,152.3145,-105.732422,0,0.0000,500.00,-1,-500.00
2.571000,152.6660,-105.380859,0,0.0000,500.00,-1,-500.00
2.572001,152.9297,-105.117187,0,0.0000,500.00,-1,-500.00
2.573002,153.5449,-104.501953,0,0.0000,500.00,-1,-500.00
2.574003,154.2480,-103.798828,0,0.0000,500.00,-1,-500.00
2.575004,154.5996,-103.447266,0,0.0000,500.00,-1,-500.00
2.576005,154.8633,-103.183594,0,0.0000,500.00,-1,-500.00
2.577006,155.4785,-102.568359,0,0.0000,500.00,-1,-500.00
2.578007,156.1816,-101.865234,0,0.0000,500.00,-1,-500.00
2.579008,156.4453,-101.601562,0,0.0000,500.00,-1,-500.00
2.580009,156.7969,-101.250000,0,0.0000,500.00,-1,-500.00
2.581010,157.4121,-100.634766,0,0.0000,500.00,-1,-500.00
2.582011,158.0273,-100.019531,0,0.0000,500.00,-1,-500.00
2.583012,158.2910,-99.755859,0,0.0000,500.00,-1,-500.00
2.584013,158.5547,-99.492187,0,0.0000,500.00,-1,-500.00
2.585014,159.2578,-98.789062,0,0.0000,500.00,-1,-500.00
2.586015,159.9609,-98.085937,0,0.0000,500.00,-1,-500.00
2.587016,160.3125,-97.734375,0,0.0000,500.00,-1,-500.00
2.588017,160.5762,-97.470703,0,0.0000,500.00,-1,-500.00
2.589018,161.1914,-96.855469,0,0.0000,500.00,-1,-500.00
2.590019,161.8066,-96.240234,0,0.0000,500.00,-1,-500.00
2.591020,162.0703,-95.976562,0,0.0000,500.00,-1,-500.00
2.592021,162.4219,-95.625000,0,0.0000,500.00,-1,-500.00
2.593022,162.9492,-95.097656,0,0.0000,500.00,-1,-500.00
2.594023,163.6523,-94.394531,0,0.0000,500.00,-1,-500.00
2.595024,164.0039,-94.042969,0,0.0000,500.00,-1,-500.00
2.596025,164.2676,-93.779297,0,0.0000,500.00,-1,-500.00
2.597026,164.9707,-93.076172,0,0.0000,500.00,-1,-500.00
2.598027,165.6738,-92.373047,0,0.0000,500.00,-1,-500.00
2.599028,166.0254,-92.021484,0,0.0000,500.00,-1,-500.00
2.600029,166.2891,-91.757812,0,0.0000,500.00,-1,-500.00
2.601030,166.8164,-91.230469,0,0.0000,500.00,-1,-500.00
2.602031,167.5195,-90.527344,0,0.0000,500.00,-1,-500.00
2.603032,167.8711,-90.175781,0,0.0000,500.00,-1,-500.00
2.604033,168.1348,-89.912109,0,0.0000,500.00,-1,-500.00
2.605034,168.7500,-89.296875,0,0.0000,500.00,-1,-500.00
2.606034,169.4531,-88.593750,0,0.0000,500.00,-1,-500.00
2.607035,169.7168,-88.330078,0,0.0000,500.00,-1,-500.00
2.608035,170.0684,-87.978516,0,0.0000,500.00,-1,-500.00
2.609036,170.6836,-87.363281,0,0.0000,500.00,-1,-500.00
2.610037,171.2988,-86.748047,0,0.0000,500.00,-1,-500.00
2.611038,171.6504,-86.396484,0,0.0000,500.00,-1,-500.00
2.612039,172.0020,-86.044922,0,0.0000,500.00,-1,-500.00
2.613040,172.6172,-85.429687,0,0.0000,500.00,-1,-500.00
2.614041,173.2324,-84.814453,0,0.0000,500.00,-1,-500.00
2.615042,173.5840,-84.462891,0,0.0000,500.00,-1,-500.00
2.616043,173.8477,-84.199219,0,0.0000,500.00,-1,-500.00
2.617044,174.3750,-83.671875,0,0.0000,500.00,-1,-500.00
2.625311,178.5059,-79.541016,0,0.0000,500.00,-1,-500.00
2.626311,179.0332,-79.013672,0,0.0000,500.00,-1,-500.00
2.627312,179.2969,-78.750000,0,0.0000,500.00,-1,-500.00
2.628312,179.7363,-78.310547,0,0.0000,500.00,-1,-500.00
2.629313,180.4395,-77.607422,0,0.0000,500.00,-1,-500.00
2.630314,180.9668,-77.080078,0,0.0000,500.00,-1,-500.00
2.631315,181.2305,-76.816406,0,0.0000,500.00,-1,-500.00
2.632316,181.5820,-76.464844,0,0.0000,500.00,-1,-500.00
2.633317,182.3730,-75.673828,0,0.0000,500.00,-1,-500.00
2.634318,182.9004,-75.146484,0,0.0000,500.00,-1,-500.00
2.635318,183.1641,-74.882812,0,0.0000,500.00,-1,-500.00
2.636319,183.4277,-74.619141,0,0.0000,500.00,-1,-500.00
2.637319,184.1309,-73.916016,0,0.0000,500.00,-1,-500.00
2.638320,184.6582,-73.388672,0,0.0000,500.00,-1,-500.00
2.639321,185.0098,-73.037109,0,0.0000,500.00,-1,-500.00
2.640322,185.3613,-72.685547,0,0.0000,500.00,-1,-500.00
2.641323,185.9766,-72.070312,0,0.0000,500.00,-1,-500.00
2.642324,186.5039,-71.542969,0,0.0000,500.00,-1,-500.00
2.643325,186.7676,-71.279297,0,0.0000,500.00,-1,-500.00
2.644326,187.2070,-70.839844,0,0.0000,500.00,-1,-500.00
2.645327,187.9102,-70.136719,0,0.0000,500.00,-1,-500.00
2.646328,188.5254,-69.521484,0,0.0000,500.00,-1,-500.00
2.647329,188.7012,-69.345703,0,0.0000,500.00,-1,-500.00
2.648330,189.0527,-68.994141,0,0.0000,500.00,-1,-500.00
2.649331,189.7559,-68.291016,0,0.0000,500.00,-1,-500.00
2.650332,190.2832,-67.763672,0,0.0000,500.00,-1,-500.00
2.651333,190.5469,-67.500000,0,0.0000,500.00,-1,-500.00
2.652334,190.9863,-67.060547,0,0.0000,500.00,-1,-500.00
2.653335,191.6016,-66.445312,0,0.0000,500.00,-1,-500.00
2.654336,192.2168,-65.830078,0,0.0000,500.00,-1,-500.00
2.655337,192.3926,-65.654297,0,0.0000,500.00,-1,-500.00
2.656338,192.7441,-65.302734,0,0.0000,500.00,-1,-500.00
2.657339,193.5352,-64.511719,0,0.0000,500.00,-1,-500.00
2.658340,194.0625,-63.984375,0,0.0000,500.00,-1,-500.00
2.659341,194.4141,-63.632812,0,0.0000,500.00,-1,-500.00
2.660342,194.7656,-63.281250,0,0.0000,500.00,-1,-500.00
2.661343,195.2930,-62.753906,0,0.0000,500.00,-1,-500.00
2.662344,195.9082,-62.138672,0,0.0000,500.00,-1,-500.00
2.663345,196.1719,-61.875000,0,0.0000,500.00,-1,-500.00
2.664346,196.6113,-61.435547,0,0.0000,500.00,-1,-500.00
2.665347,197.3145,-60.732422,0,0.0000,500.00,-1,-500.00
2.666348,197.8418,-60.205078,0,0.0000,500.00,-1,-500.00
2.667349,198.0176,-60.029297,0,0.0000,500.00,-1,-500.00
2.668350,198.4570,-59.589844,0,0.0000,500.00,-1,-500.00
2.669351,199.0723,-58.974609,0,0.0000,500.00,-1,-500.00
2.670352,199.6875,-58.359375,0,0.0000,500.00,-1,-500.00
2.671353,199.8633,-58.183594,0,0.0000,500.00,-1,-500.00
2.672354,200.2148,-57.832031,0,0.0000,500.00,-1,-500.00
2.673355,200.9180,-57.128906,0,0.0000,500.00,-1,-500.00
2.674356,201.3574,-56.689453,0,0.0000,500.00,-1,-500.00
2.681705,204.8730,-53.173828,0,0.0000,500.00,-1,-500.00
2.682706,205.3125,-52.734375,0,0.0000,500.00,-1,-500.00
2.683706,205.4883,-52.558594,0,0.0000,500.00,-1,-500.00
2.684707,206.0156,-52.031250,0,0.0000,500.00,-1,-500.00
2.685707,206.6309,-51.416016,0,0.0000,500.00,-1,-500.00
2.686708,207.0703,-50.976562,0,0.0000,500.00,-1,-500.00
2.687709,207.3340,-50.712891,0,0.0000,500.00,-1,-500.00
2.688710,207.7734,-50.273437,0,0.0000,500.00,-1,-500.00
2.689711,208.4766,-49.570312,0,0.0000,500.00,-1,-500.00
2.690712,208.8281,-49.218750,0,0.0000,500.00,-1,-500.00
2.691713,209.0918,-48.955078,0,0.0000,500.00,-1,-500.00
2.692714,209.7070,-48.339844,0,0.0000,500.00,-1,-500.00
2.693715,210.4102,-47.636719,0,0.0000,500.00,-1,-500.00
2.694716,210.7617,-47.285156,0,0.0000,500.00,-1,-500.00
2.695717,210.9375,-47.109375,0,0.0000,500.00,-1,-500.00
2.696718,211.4648,-46.582031,0,0.0000,500.00,-1,-500.00
2.697719,212.1680,-45.878906,0,0.0000,500.00,-1,-500.00
2.698720,212.6074,-45.439453,0,0.0000,500.00,-1,-500.00
2.699721,212.7832,-45.263672,0,0.0000,500.00,-1,-500.00
2.700722,213.3984,-44.648437,0,0.0000,500.00,-1,-500.00
2.701723,213.9258,-44.121094,0,0.0000,500.00,-1,-500.00
2.702724,214.3652,-43.681641,0,0.0000,500.00,-1,-500.00
2.703725,214.5410,-43.505859,0,0.0000,500.00,-1,-500.00
2.704726,215.0684,-42.978516,0,0.0000,500.00,-1,-500.00
2.705727,215.7715,-42.275391,0,0.0000,500.00,-1,-500.00
2.706728,216.2109,-41.835937,0,0.0000,500.00,-1,-500.00
2.707729,216.3867,-41.660156,0,0.0000,500.00,-1,-500.00
2.708730,216.9141,-41.132812,0,0.0000,500.00,-1,-500.00
2.709731,217.6172,-40.429687,0,0.0000,500.00,-1,-500.00
2.710732,217.9687,-40.078125,0,0.0000,500.00,-1,-500.00
2.711733,218.3203,-39.726562,0,0.0000,500.00,-1,-500.00
2.712734,218.7598,-39.287109,0,0.0000,500.00,-1,-500.00
2.713735,219.2871,-38.759766,0,0.0000,500.00,-1,-500.00
2.714736,219.7266,-38.320312,0,0.0000,500.00,-1,-500.00
2.715737,219.9023,-38.144531,0,0.0000,500.00,-1,-500.00
2.716738,220.5176,-37.529297,0,0.0000,500.00,-1,-500.00
2.717739,221.2207,-36.826172,0,0.0000,500.00,-1,-500.00
2.718740,221.6602,-36.386719,0,0.0000,500.00,-1,-500.00
2.719741,221.8359,-36.210937,0,0.0000,500.00,-1,-500.00
2.720742,222.3633,-35.683594,0,0.0000,500.00,-1,-500.00
2.721743,222.9785,-35.068359,0,0.0000,500.00,-1,-500.00
2.722744,223.4180,-34.628906,0,0.0000,500.00,-1,-500.00
2.723745,223.5937,-34.453125,0,0.0000,500.00,-1,-500.00
2.724746,224.1211,-33.925781,0,0.0000,500.00,-1,-500.00
2.725747,224.7363,-33.310547,0,0.0000,500.00,-1,-500.00
2.726748,225.0879,-32.958984,0,0.0000,500.00,-1,-500.00
2.727749,225.3516,-32.695312,0,0.0000,500.00,-1,-500.00
2.728750,225.8789,-32.167969,0,0.0000,500.00,-1,-500.00
2.729751,226.4941,-31.552734,0,0.0000,500.00,-1,-500.00
2.730752,226.9336,-31.113281,0,0.0000,500.00,-1,-500.00
2.739213,230.4492,-27.597656,0,0.0000,500.00,-1,-500.00
2.740214,230.8008,-27.246094,0,0.0000,500.00,-1,-500.00
2.741215,231.5918,-26.455078,0,0.0000,500.00,-1,-500.00
2.742216,232.1191,-25.927734,0,0.0000,500.00,-1,-500.00
2.743217,232.3828,-25.664062,0,0.0000,500.00,-1,-500.00
2.744218,232.7344,-25.312500,0,0.0000,500.00,-1,-500.00
2.745219,233.2617,-24.785156,0,0.0000,500.00,-1,-500.00
2.746220,233.8770,-24.169922,0,0.0000,500.00,-1,-500.00
2.747221,234.1406,-23.906250,0,0.0000,500.00,-1,-500.00
2.748222,234.4922,-23.554687,0,0.0000,500.00,-1,-500.00
2.749222,235.1074,-22.939453,0,0.0000,500.00,-1,-500.00
2.750223,235.6348,-22.412109,0,0.0000,500.00,-1,-500.00
2.751223,235.8105,-22.236328,0,0.0000,500.00,-1,-500.00
2.752224,236.1621,-21.884766,0,0.0000,500.00,-1,-500.00
2.753225,236.7773,-21.269531,0,0.0000,500.00,-1,-500.00
2.754226,237.3926,-20.654297,0,0.0000,500.00,-1,-500.00
2.755227,237.5684,-20.478516,0,0.0000,500.00,-1,-500.00
2.756228,237.9199,-20.126953,0,0.0000,500.00,-1,-500.00
2.757229,238.6230,-19.423828,0,0.0000,500.00,-1,-500.00
2.758230,239.1504,-18.896484,0,0.0000,500.00,-1,-500.00
2.759231,239.4141,-18.632812,0,0.0000,500.00,-1,-500.00
2.760232,239.8535,-18.193359,0,0.0000,500.00,-1,-500.00
2.761233,240.3809,-17.666016,0,0.0000,500.00,-1,-500.00
2.762234,240.9082,-17.138672,0,0.0000,500.00,-1,-500.00
2.763235,241.1719,-16.875000,0,0.0000,500.00,-1,-500.00
2.764236,241.4355,-16.611328,0,0.0000,500.00,-1,-500.00
2.765237,242.1387,-15.908203,0,0.0000,500.00,-1,-500.00
2.766238,242.7539,-15.292969,0,0.0000,500.00,-1,-500.00
2.767239,243.0176,-15.029297,0,0.0000,500.00,-1,-500.00
2.768240,243.2812,-14.765625,0,0.0000,500.00,-1,-500.00
2.769241,243.9844,-14.062500,0,0.0000,500.00,-1,-500.00
2.770242,244.4238,-13.623047,0,0.0000,500.00,-1,-500.00
2.771243,244.6875,-13.359375,0,0.0000,500.00,-1,-500.00
2.772244,245.0391,-13.007813,0,0.0000,500.00,-1,-500.00
