t_s,accumulated_rad,input_rad_s
23.550596,-0.004601944545318489,0.0
23.551598,-0.0030679572124481524,0.0
23.552601,-0.0030679572124481524,0.0
23.553602,-0.0030679572124481524,0.0
23.554604,-0.0030679572124481524,0.0
23.555607,-0.0030679572124481524,0.0
23.556608,-0.0030679572124481524,0.0
23.565914,-0.004601944545318489,0.0
23.566916,-0.0030679572124481524,0.0
23.567917,-0.0030679572124481524,0.0
23.568918,-0.004601944545318489,0.0
23.56992,-0.004601944545318489,0.0
23.570923,-0.004601944545318489,0.0
23.571924,-0.0030679572124481524,0.0
23.572926,-0.0030679572124481524,0.0
23.573929,-0.0030679572124481524,0.0
23.57493,-0.0030679572124481524,0.0
23.575932,-0.0030679572124481524,0.0
23.576935,-0.0030679572124481524,0.0
23.577936,-0.0030679572124481524,0.0
23.578938,-0.0030679572124481524,0.0
23.579939,-0.0030679572124481524,0.0
23.58094,-0.0030679572124481524,0.0
23.581942,-0.0030679572124481524,0.0
23.582945,-0.004601944545318489,0.0
23.583946,-0.0030679572124481524,0.0
23.584948,-0.0030679572124481524,0.0
23.585951,-0.004601944545318489,0.0
23.586952,-0.004601944545318489,0.0
23.587954,-0.0030679572124481524,0.0
23.588957,-0.0030679572124481524,0.0
23.589958,-0.0030679572124481524,0.0
23.59096,-0.0030679572124481524,0.0
23.591963,-0.0030679572124481524,0.0
23.592964,-0.0030679572124481524,0.0
23.593966,-0.0030679572124481524,0.0
23.594967,-0.004601944545318489,0.0
23.595968,-0.0030679572124481524,0.0
23.59697,-0.0030679572124481524,0.0
23.597973,-0.004601944545318489,0.0
23.598974,-0.004601944545318489,0.0
23.599976,-0.0030679572124481524,0.0
23.600979,-0.0030679572124481524,0.0
23.60198,-0.0030679572124481524,0.0
23.602982,-0.004601944545318489,0.0
23.603985,-0.004601944545318489,0.0
23.604986,-0.0030679572124481524,0.0
23.605988,-0.0030679572124481524,0.0
23.606991,-0.0030679572124481524,0.0
23.607992,-0.0030679572124481524,0.0
23.608994,-0.0030679572124481524,0.0
23.609995,-0.004601944545318489,0.0
23.610996,-0.0030679572124481524,0.0
23.611998,-0.0030679572124481524,0.0
23.613001,-0.0030679572124481524,0.0
23.614002,-0.0030679572124481524,0.0
23.615004,-0.0030679572124481524,0.0
23.622583,-0.004601944545318489,0.0
23.623585,-0.0030679572124481524,0.0
23.624586,-0.004601944545318489,0.0
23.625587,-0.004601944545318489,0.0
23.626589,-0.0030679572124481524,0.0
23.62759,-0.0030679572124481524,0.0
23.628592,-0.0030679572124481524,0.0
23.629595,-0.004601944545318489,0.0
23.630596,-0.004601944545318489,0.0
23.631598,-0.004601944545318489,0.0
23.632599,-0.004601944545318489,0.0
23.6336,-0.004601944545318489,0.0
23.634602,-0.004601944545318489,0.0
23.635605,-0.0030679572124481524,0.0
23.636606,-0.004601944545318489,0.0
23.637608,-0.004601944545318489,0.0
23.638611,-0.0030679572124481524,0.0
23.639612,-0.0030679572124481524,0.0
23.640614,-0.004601944545318489,0.0
23.641617,-0.004601944545318489,0.0
23.642618,-0.004601944545318489,0.0
23.64362,-0.004601944545318489,0.0
23.644623,-0.004601944545318489,0.0
23.645624,-0.004601944545318489,0.0
23.646626,-0.004601944545318489,0.0
23.647627,-0.004601944545318489,0.0
23.648628,-0.004601944545318489,0.0
23.64963,-0.004601944545318489,0.0
23.650633,-0.004601944545318489,0.0
23.651634,-0.0030679572124481524,0.0
23.652636,-0.0030679572124481524,0.0
23.653639,-0.0030679572124481524,0.0
23.65464,-0.0030679572124481524,0.0
23.655642,-0.0030679572124481524,0.0
23.656645,-0.0030679572124481524,0.0
23.657646,-0.0030679572124481524,0.0
23.658648,-0.0030679572124481524,0.0
23.659651,-0.0030679572124481524,0.0
23.660652,-0.0030679572124481524,0.0
23.661654,-0.0030679572124481524,0.0
23.662655,-0.004601944545318489,0.0
23.663656,-0.004601944545318489,0.0
23.664658,-0.004601944545318489,0.0
23.665661,-0.004601944545318489,0.0
23.666662,-0.0030679572124481524,0.0
23.667664,-0.004601944545318489,0.0
23.668667,-0.004601944545318489,0.0
23.669668,-0.004601944545318489,0.0
23.67067,-0.0030679572124481524,0.0
23.671673,-0.0030679572124481524,0.0
23.679983,-0.0030679572124481524,0.0
23.680984,-0.0030679572124481524,0.0
23.681986,-0.0030679572124481524,0.0
23.682987,-0.0030679572124481524,0.0
23.683989,-0.004601944545318489,0.0
23.68499,-0.004601944545318489,0.0
23.685991,-0.0030679572124481524,0.0
23.686993,-0.0030679572124481524,0.0
23.687994,-0.0030679572124481524,0.0
23.688995,-0.0030679572124481524,0.0
23.689997,-0.004601944545318489,0.0
23.690998,-0.004601944545318489,0.0
23.691999,-0.004601944545318489,0.0
23.693001,-0.004601944545318489,0.0
23.694002,-0.004601944545318489,0.0
23.695004,-0.004601944545318489,0.0
23.696005,-0.0030679572124481524,0.0
23.697006,-0.004601944545318489,0.0
23.698008,-0.004601944545318489,0.0
23.699011,-0.004601944545318489,0.0
