t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.198416,139.1309,-108.720703,0.571867,-9.910612,-9.179369,0.831985,0.925359,-0.184576,0.571867,0.027742,1347.16,1,1347.16,-0.13687477675184143,-0.15667885978813068,-0.13687477675184143,0.023511474089778737
0.200671,136.6699,-111.181641,-2.776424,-9.915147,-8.889671,-2.516306,1.140837,0.105122,-2.776424,0.24322,1359.91,1,1359.91,-0.3306770495309907,-0.1696446501558789,-0.3306770495309907,0.032917894973103184
0.202928,134.1211,-113.730469,0.473705,-9.918197,-8.908825,0.733823,0.939724,0.085968,0.473705,0.042107,1372.6,1,1372.6,-0.5882929710399272,-0.18206889415638913,-0.5882929710399272,0.031572109196212665
0.205186,131.8359,-116.015625,1.834808,-9.915346,-9.698911,2.094927,1.346738,-0.704118,1.834808,0.449122,1391.49,1,1391.49,-0.9296518550803076,-0.19137629166029044,-0.9296518550803076,0.020489348075097634
0.207448,129.5508,-118.300781,0.717913,-9.9126,-9.453506,0.978031,0.60693,-0.458713,0.717913,-0.290687,1403.99,1,1403.99,-1.361446261847779,-0.19452950236798894,-1.361446261847779,0.0036389998807954548
0.209704,127.3535,-120.498047,-1.156747,-9.914255,-8.938752,-0.896629,0.221464,0.056041,-1.156747,-0.676153,1416.43,1,1416.43,-1.855605046557004,-0.19171130338361722,-1.855605046557004,-0.013760653578767993
0.211961,125.1563,-122.695312,-2.007885,-9.918307,-9.060856,-1.747767,0.88346,-0.066063,-2.007885,-0.014156,1428.78,1,1428.78,-2.34887840749453,-0.185967631662871,-2.34887840749453,-0.02988423569528594
0.214219,122.8711,-124.980469,-1.992323,-9.923216,-8.975863,-1.732205,1.924938,0.01893,-1.992323,1.027321,1447.17,1,1447.17,-2.755941245135063,-0.17958944148928715,-2.755941245135063,-0.04745438083343674
0.216911,119.0918,-128.759766,-9.039656,-9.947541,-9.405622,-8.779537,0.675165,-0.410829,-9.039656,-0.222452,1459.33,1,1459.33,-2.986493312192406,-0.1723283589285894,-2.986493312192406,-0.06755142422961219
0.219169,116.1035,-131.748047,-7.179361,-9.968318,-9.718064,-6.919243,0.112527,-0.723271,-7.179361,-0.785089,1477.42,1,1477.42,-2.977849192072102,-0.16342272724074738,-2.977849192072102,-0.08550939385265349
