t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.076696,112.0605,-131.835937,-2.191439,-0.174014,-9.423578,-1.966837,1.84593,-0.426606,-2.191439,0.920936,1500.0,1,1500.0,0.09066144085602558,-0.05145899634065533,0.09066144085602558,0.14148614544395302
0.078953,109.4238,-134.472656,2.844764,-0.17206,-8.497022,3.069367,0.96606,0.49995,2.844764,0.041067,1500.0,1,1500.0,0.2697879587272436,-0.0226369534002139,0.2697879587272436,0.1489552642195632
0.081209,106.6992,-137.197266,3.434935,-0.164546,-9.119514,3.659537,0.725443,-0.122542,3.434935,-0.19955,1500.0,1,1500.0,0.38160523200775226,0.002499229428029808,0.38160523200775226,0.14009006613115915
0.083468,104.0625,-139.833984,1.914617,-0.158555,-8.498219,2.139219,0.876278,0.498754,1.914617,-0.048716,1500.0,1,1500.0,0.4002730461543448,0.0188930143287714,0.4002730461543448,0.12562443702031373
0.085725,101.4258,-142.470703,-0.515498,-0.158117,-8.883685,-0.290895,0.798466,0.113287,-0.515498,-0.126527,1500.0,1,1500.0,0.3530182490299564,0.026489113063163566,0.3530182490299564,0.11187255807004498
0.087981,98.7891,-145.107422,-2.303966,-0.16228,-9.628283,-2.079364,1.140837,-0.63131,-2.303966,0.215844,1500.0,1,1500.0,0.2970282705375771,0.029588275525003004,0.2970282705375771,0.09951015120219556
0.090239,96.5039,-147.392578,-1.098486,-0.16628,-8.737639,-0.873884,1.255759,0.259333,-1.098486,0.330765,1500.0,1,1500.0,0.2762281133210701,0.03232058629729848,0.2762281133210701,0.08625454550880382
0.0925,93.9551,-149.941406,0.644493,-0.166467,-8.717288,0.869095,0.990002,0.279684,0.644493,0.065009,1500.0,1,1500.0,0.2963055878170915,0.03547307655100072,0.2963055878170915,0.07073602718352269
0.094757,91.4063,-152.490234,3.019541,-0.16052,-9.374496,3.244143,0.824802,-0.377524,3.019541,-0.100191,1500.0,1,1500.0,0.33695004913538473,0.03876532010239904,0.33695004913538473,0.05413796362018669
0.097014,88.8574,-155.039062,-2.702601,-0.159869,-9.283517,-2.477999,0.663194,-0.286545,-2.702601,-0.2618,1500.0,1,1500.0,0.38060536700022685,0.04144435387925399,0.38060536700022685,0.03788444846795276
