t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.095526,322.2949,-201.09375,0.599147,-0.171315,-8.045714,0.845153,0.317232,0.948701,0.599147,-0.552445,2500.0,1,2500.0,0.06987014059827759,-0.20606800949271786,0.06987014059827759,-0.30823509566332813
0.097782,317.8125,-205.576172,3.210023,-0.164648,-9.075222,3.45603,0.669179,-0.080807,3.210023,-0.200497,2500.0,1,2500.0,0.4997297847472047,-0.25815689801157926,0.4997297847472047,-0.34947621728366407
0.123562,309.8145,-213.574219,-6.298548,-0.327031,-11.435905,-6.052542,1.956063,-2.441489,-6.298548,1.086386,0.0,1,0.0,0.993814363199822,-0.28574400746598133,0.993814363199822,-0.3728325810881131
0.125819,309.8145,-213.574219,-0.44712,-0.332568,-10.684125,-0.201113,-0.995988,-1.68971,-0.44712,-1.865665,0.0,1,0.0,1.498571945476945,-0.27373307372335204,1.498571945476945,-0.3684575368634953
0.128074,309.9902,-213.398437,7.104193,-0.320464,-7.439982,7.350199,-1.229423,1.554433,7.104193,-2.099099,0.0,1,0.0,1.91423606884162,-0.2267852348827907,1.91423606884162,-0.3247288456969129
0.130328,309.9023,-213.486328,6.297347,-0.304913,-9.483433,6.543353,-0.311246,-0.489017,6.297347,-1.180923,0.0,1,0.0,2.1235994501811817,-0.1629631527511092,2.1235994501811817,-0.24459979810567048
0.132582,309.9023,-213.486328,5.514443,-0.291967,-9.337387,5.760449,2.701857,-0.342972,5.514443,1.83218,0.0,1,0.0,2.057308017918406,-0.09858661915576349,2.057308017918406,-0.15340063688578984
0.134842,309.9902,-213.398437,4.944623,-0.280189,-8.726865,5.190629,2.699462,0.26755,4.944623,1.829786,0.0,1,0.0,1.7264792999370375,-0.04589461935901071,1.7264792999370375,-0.0822202291660981
0.137099,310.0781,-213.310547,0.187344,-0.275601,-8.202535,0.433351,0.738611,0.791881,0.187344,-0.131066,0.0,1,0.0,1.214206675212192,-0.015709625081809443,1.214206675212192,-0.043709361154398
0.139356,310.0781,-213.310547,-3.052011,-0.278967,-8.459911,-2.806004,-0.332794,0.534504,-3.052011,-1.202471,0.0,1,0.0,0.64257394559149,-0.0130997909926919,0.64257394559149,-0.028117142674152204
