t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.264925,64.3359,-183.515625,-3.042181,-9.982170,-8.759187,-2.782062,0.970849,0.235606,-3.042181,0.073232,1722.16,1,1722.16
0.267181,61.8750,-185.976562,1.108168,-9.984649,-7.896077,1.368286,1.555034,1.098716,1.108168,0.657417,1736.41,1,1736.41
0.269442,59.3262,-188.525391,3.713059,-9.977524,-9.319430,3.973178,0.363919,-0.324637,3.713059,-0.533698,1745.74,1,1745.74
0.271698,56.7773,-191.074219,2.493214,-9.970179,-9.757569,2.753332,0.535104,-0.762776,2.493214,-0.362513,1754.94,1,1754.94
0.273954,54.3164,-193.535156,-2.538201,-9.973151,-8.910022,-2.278083,1.491588,0.084771,-2.538201,0.593971,1764.00,1,1764.00
0.276212,51.5039,-196.347656,-0.777266,-9.977466,-8.682572,-0.517148,0.342371,0.312221,-0.777266,-0.555246,1777.34,1,1777.34
0.278475,48.8672,-198.984375,0.541939,-9.976556,-9.097966,0.802058,-0.105345,-0.103173,0.541939,-1.002962,1786.05,1,1786.05
0.280731,46.1426,-201.708984,-2.250897,-9.979206,-9.518148,-1.990779,1.517924,-0.523355,-2.250897,0.620307,1794.62,1,1794.62
0.282987,43.4180,-204.433594,-1.342297,-9.983393,-8.766370,-1.082179,1.947683,0.228423,-1.342297,1.050066,1803.04,1,1803.04
0.285247,40.6055,-207.246094,0.835229,-9.984369,-9.224859,1.095347,1.806425,-0.230066,0.835229,0.908808,1815.41,1,1815.41
0.287509,37.8809,-209.970703,5.451250,-9.974743,-9.050082,5.711368,0.442927,-0.055289,5.451250,-0.454690,1823.46,1,1823.46
0.289766,35.2441,-212.607422,-0.947254,-9.967159,-8.955511,-0.687136,-0.063446,0.039282,-0.947254,-0.961063,1831.36,1,1831.36
0.292020,32.4316,-215.419922,-3.193015,-9.973621,-8.572439,-2.932897,1.359907,0.422354,-3.193015,0.462290,1842.92,1,1842.92
0.294275,29.6191,-218.232422,3.083385,-9.972008,-8.790312,3.343503,1.148020,0.204481,3.083385,0.250403,1850.43,1,1850.43
0.296362,26.8945,-220.957031,0.901070,-9.970128,-9.684546,1.161188,0.247800,-0.689753,0.901070,-0.649817,1857.78,1,1857.78
