t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.194363,310.0781,-213.310547,1.328181,-0.260499,-8.826224,1.574188,-0.071826,0.168191,1.328181,-0.941503,0.00,1,0.00
0.196619,310.0781,-213.310547,-1.525707,-0.262307,-9.235633,-1.279701,0.780510,-0.241218,-1.525707,-0.089167,0.00,1,0.00
0.198874,309.9902,-213.398437,-3.453040,-0.269085,-9.467871,-3.207033,1.432930,-0.473455,-3.453040,0.563253,0.00,1,0.00
0.201129,309.9902,-213.398437,-3.004127,-0.276474,-9.170990,-2.758120,1.286883,-0.176575,-3.004127,0.417207,0.00,1,0.00
0.203398,309.9023,-213.486328,-1.945890,-0.281829,-8.708909,-1.699883,1.107318,0.285506,-1.945890,0.237642,0.00,1,0.00
0.205653,309.9902,-213.398437,-0.461485,-0.283827,-8.842984,-0.215478,0.746991,0.151431,-0.461485,-0.122686,0.00,1,0.00
0.207909,309.9902,-213.398437,2.603093,-0.280697,-9.253590,2.849100,0.490811,-0.259174,2.603093,-0.378865,0.00,1,0.00
0.210165,309.9902,-213.398437,2.538450,-0.274550,-9.060856,2.784456,0.622492,-0.066441,2.538450,-0.247184,0.00,1,0.00
0.212421,309.9023,-213.486328,0.800260,-0.271206,-9.297882,1.046266,0.731429,-0.303467,0.800260,-0.138248,0.00,1,0.00
0.214682,310.0781,-213.310547,-0.899624,-0.272343,-9.402030,-0.653617,0.641646,-0.407615,-0.899624,-0.228031,0.00,1,0.00
0.216939,310.0781,-213.310547,-2.726400,-0.277301,-9.006987,-2.480393,0.805649,-0.012571,-2.726400,-0.064028,0.00,1,0.00
0.219194,309.9902,-213.398437,-3.020886,-0.283941,-8.901642,-2.774880,0.757765,0.092773,-3.020886,-0.111912,0.00,1,0.00
0.221449,310.0781,-213.310547,-2.002154,-0.289409,-9.011775,-1.756147,0.804452,-0.017360,-2.002154,-0.065225,0.00,1,0.00
0.223710,309.9902,-213.398437,-0.571618,-0.291507,-9.215282,-0.325611,0.933739,-0.220867,-0.571618,0.064062,0.00,1,0.00
0.225966,309.9902,-213.398437,1.352123,-0.289759,-9.009381,1.598130,0.955287,-0.014966,1.352123,0.085610,0.00,1,0.00
0.228221,310.0781,-213.310547,1.674143,-0.286197,-8.895657,1.920150,0.614113,0.098759,1.674143,-0.255564,0.00,1,0.00
0.230479,309.9902,-213.398437,1.162981,-0.283094,-9.017760,1.408988,0.512359,-0.023345,1.162981,-0.357318,0.00,1,0.00
0.232740,310.0781,-213.310547,0.077211,-0.282212,-9.040505,0.323217,0.696713,-0.046090,0.077211,-0.172964,0.00,1,0.00
0.234995,309.9902,-213.398437,-1.895612,-0.285268,-9.162610,-1.649605,0.964863,-0.168195,-1.895612,0.095187,0.00,1,0.00
0.237253,310.0781,-213.310547,-1.870472,-0.289681,-9.214086,-1.624466,0.837971,-0.219670,-1.870472,-0.031706,0.00,1,0.00
0.239510,310.0781,-213.310547,-1.085174,-0.292603,-9.224859,-0.839168,0.772130,-0.230444,-1.085174,-0.097547,0.00,1,0.00
0.241593,310.0781,-213.310547,-0.529720,-0.293707,-9.230844,-0.283713,0.944513,-0.236429,-0.529720,0.074836,0.00,1,0.00
0.243849,310.0781,-213.310547,0.556051,-0.293579,-8.918402,0.802058,0.970849,0.076014,0.556051,0.101172,0.00,1,0.00
0.246104,309.9023,-213.486328,1.099535,-0.291637,-8.995016,1.345541,0.802058,-0.000601,1.099535,-0.067619,0.00,1,0.00
0.248360,309.9902,-213.398437,1.074396,-0.289157,-9.186552,1.320402,0.743400,-0.192137,1.074396,-0.126277,0.00,1,0.00
0.250614,309.9902,-213.398437,0.509364,-0.287615,-9.101558,0.755371,0.867898,-0.107142,0.509364,-0.001779,0.00,1,0.00
0.252873,310.0781,-213.310547,-0.699708,-0.288181,-8.983045,-0.453701,0.647632,0.011371,-0.699708,-0.222045,0.00,1,0.00
0.255128,309.9902,-213.398437,-0.666189,-0.289820,-8.981848,-0.420182,0.484826,0.012568,-0.666189,-0.384851,0.00,1,0.00
0.257384,310.0781,-213.310547,-0.595560,-0.291175,-9.144653,-0.349553,0.785298,-0.150238,-0.595560,-0.084379,0.00,1,0.00
0.259639,310.0781,-213.310547,-0.496201,-0.292431,-9.143456,-0.250194,1.110910,-0.149041,-0.496201,0.241233,0.00,1,0.00
0.261899,309.9902,-213.398437,0.441129,-0.292210,-9.009381,0.687136,1.182736,-0.014966,0.441129,0.313059,0.00,1,0.00
0.264154,309.9902,-213.398437,0.977430,-0.290574,-8.913613,1.223437,0.975637,0.080802,0.977430,0.105960,0.00,1,0.00
0.266407,309.9902,-213.398437,1.220442,-0.288054,-8.833407,1.466449,0.865504,0.161008,1.220442,-0.004173,0.00,1,0.00
0.268660,309.9902,-213.398437,0.987007,-0.285561,-9.150639,1.233014,0.918176,-0.156223,0.987007,0.048500,0.00,1,0.00
0.276164,310.0781,-213.310547,-0.903215,-0.292338,-9.099164,-0.657208,0.633266,-0.104749,-0.903215,-0.236410,0.00,1,0.00
0.278219,309.9902,-213.398437,-0.400433,-0.293658,-8.920795,-0.154426,1.031901,0.073620,-0.400433,0.162224,0.00,1,0.00
