t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
1.761162,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.762163,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.763164,135.1758,-316.933594,689,484.4531,0.00,1,0.00
1.770768,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.771769,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.772770,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.773771,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.774772,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.775773,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.776774,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.777775,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.778776,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.779777,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.780778,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.781779,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.782780,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.783781,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.784782,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.785783,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.786784,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.787785,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.788786,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.789787,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.790788,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.791789,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.792790,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.793790,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.794790,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.795791,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.796792,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.797793,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.798794,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.799795,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.800796,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.801797,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.802798,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.803799,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.804800,135.4395,-316.669922,689,484.4531,0.00,1,0.00
1.805801,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.806802,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.807803,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.808804,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.809805,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.810806,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.811807,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.812808,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.813809,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.814810,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.815811,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.816812,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.817813,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.818814,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.819815,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.827439,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.828439,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.829439,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.830440,135.1758,-316.933594,689,484.4531,0.00,1,0.00
1.831441,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.832442,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.833443,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.834444,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.835445,135.3516,-316.757812,689,484.4531,0.00,1,0.00
1.836446,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.837447,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.838448,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.839449,135.2637,-316.845703,689,484.4531,0.00,1,0.00
1.840450,135.2637,-316.845703,689,484.4531,0.00,1,0.00
