t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
13.051197,263.9355,-0.703125,111,78.0469,0.00,1,0.00
13.052198,263.9355,-0.703125,111,78.0469,0.00,1,0.00
13.053199,263.9355,-0.703125,111,78.0469,0.00,1,0.00
13.054199,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.055200,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.056200,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.057200,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.058201,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.059201,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.060202,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.061202,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.062203,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.063204,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.064204,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.065205,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.066205,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.067205,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.068206,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.069206,263.9355,-0.703125,111,78.0469,0.00,1,0.00
13.070207,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.071207,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.072208,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.073209,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.080929,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.081929,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.082930,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.083930,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.084930,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.085931,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.086931,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.087932,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.088932,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.089932,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.090933,264.1113,-0.527344,111,78.0469,0.00,1,0.00
13.091933,264.0234,-0.615234,111,78.0469,0.00,1,0.00
13.092934,263.9355,-0.703125,111,78.0469,0.00,1,0.00
