t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.135965,50.0977,0.087891,0,0.0000,95.20,1,95.20
0.136965,50.0098,0.000000,0,0.0000,95.90,1,95.90
0.137966,50.0977,0.087891,0,0.0000,96.60,1,96.60
0.138967,50.0977,0.087891,0,0.0000,97.30,1,97.30
0.139967,50.0977,0.087891,0,0.0000,98.00,1,98.00
0.140967,50.1855,0.175781,0,0.0000,98.70,1,98.70
0.143518,50.0977,0.087891,0,0.0000,100.10,1,100.10
0.144518,50.0977,0.087891,0,0.0000,100.80,1,100.80
0.145518,50.0977,0.087891,0,0.0000,101.50,1,101.50
0.146518,50.0977,0.087891,0,0.0000,102.20,1,102.20
0.147519,50.0977,0.087891,0,0.0000,102.90,1,102.90
0.148519,50.0977,0.087891,0,0.0000,103.60,1,103.60
0.149519,50.0977,0.087891,0,0.0000,104.30,1,104.30
0.150519,50.1855,0.175781,0,0.0000,105.00,1,105.00
0.151519,50.0977,0.087891,0,0.0000,105.70,1,105.70
0.152519,50.0098,0.000000,0,0.0000,106.40,1,106.40
0.153519,50.0098,0.000000,0,0.0000,107.10,1,107.10
0.154519,50.0977,0.087891,0,0.0000,107.80,1,107.80
0.155520,50.0098,0.000000,0,0.0000,108.50,1,108.50
0.156521,50.0098,0.000000,0,0.0000,109.20,1,109.20
0.157521,50.0098,0.000000,0,0.0000,109.90,1,109.90
0.158521,50.0098,0.000000,0,0.0000,110.60,1,110.60
0.159521,50.0098,0.000000,0,0.0000,111.30,1,111.30
0.160521,50.0977,0.087891,0,0.0000,112.00,1,112.00
0.161521,50.1855,0.175781,0,0.0000,112.70,1,112.70
0.162521,50.1855,0.175781,0,0.0000,113.40,1,113.40
0.163521,50.0977,0.087891,0,0.0000,114.10,1,114.10
0.164522,50.0977,0.087891,0,0.0000,114.80,1,114.80
0.165522,50.1855,0.175781,0,0.0000,115.50,1,115.50
0.166522,50.1855,0.175781,0,0.0000,116.20,1,116.20
0.167522,50.1855,0.175781,0,0.0000,116.90,1,116.90
0.168522,50.0977,0.087891,0,0.0000,117.60,1,117.60
0.169522,50.1855,0.175781,0,0.0000,118.30,1,118.30
0.170522,50.0977,0.087891,0,0.0000,119.00,1,119.00
0.178005,50.0977,0.087891,0,0.0000,124.60,1,124.60
0.179005,50.0977,0.087891,0,0.0000,125.30,1,125.30
0.180005,50.0977,0.087891,0,0.0000,126.00,1,126.00
0.181005,50.0977,0.087891,0,0.0000,126.70,1,126.70
0.182005,50.0977,0.087891,0,0.0000,127.40,1,127.40
0.183005,50.0977,0.087891,0,0.0000,128.10,1,128.10
0.184006,50.1855,0.175781,0,0.0000,128.80,1,128.80
0.185007,50.1855,0.175781,0,0.0000,129.50,1,129.50
0.186008,50.0977,0.087891,0,0.0000,130.20,1,130.20
0.187009,50.0977,0.087891,0,0.0000,130.90,1,130.90
0.188010,50.0977,0.087891,0,0.0000,131.60,1,131.60
0.189010,50.1855,0.175781,0,0.0000,132.30,1,132.30
0.190010,50.1855,0.175781,0,0.0000,133.00,1,133.00
0.191010,50.0977,0.087891,0,0.0000,133.70,1,133.70
0.192010,50.0977,0.087891,0,0.0000,134.40,1,134.40
0.193010,50.0977,0.087891,0,0.0000,135.10,1,135.10
0.194010,50.0977,0.087891,0,0.0000,135.80,1,135.80
0.195010,50.0977,0.087891,0,0.0000,136.50,1,136.50
0.196011,50.0977,0.087891,0,0.0000,137.20,1,137.20
0.197012,50.0977,0.087891,0,0.0000,137.90,1,137.90
0.198012,50.1855,0.175781,0,0.0000,138.60,1,138.60
0.199012,50.0977,0.087891,0,0.0000,139.30,1,139.30
0.200012,50.0977,0.087891,0,0.0000,140.00,1,140.00
0.201012,50.0977,0.087891,0,0.0000,140.70,1,140.70
0.202012,50.0977,0.087891,0,0.0000,141.40,1,141.40
0.203012,50.0098,0.000000,0,0.0000,142.10,1,142.10
0.204012,50.0977,0.087891,0,0.0000,142.80,1,142.80
0.205013,50.0977,0.087891,0,0.0000,143.50,1,143.50
0.206014,50.0098,0.000000,0,0.0000,144.20,1,144.20
0.207014,50.0098,0.000000,0,0.0000,144.90,1,144.90
0.208014,50.0977,0.087891,0,0.0000,145.60,1,145.60
0.209014,50.0977,0.087891,0,0.0000,146.30,1,146.30
0.210014,50.0977,0.087891,0,0.0000,147.00,1,147.00
0.211014,50.0977,0.087891,0,0.0000,147.70,1,147.70
0.212014,50.1855,0.175781,0,0.0000,148.40,1,148.40
0.213014,50.1855,0.175781,0,0.0000,149.10,1,149.10
0.214015,50.1855,0.175781,0,0.0000,149.80,1,149.80
0.215015,50.1855,0.175781,0,0.0000,150.50,1,150.50
0.216015,50.0977,0.087891,0,0.0000,151.20,1,151.20
0.217015,50.1855,0.175781,0,0.0000,151.90,1,151.90
0.218015,50.0977,0.087891,0,0.0000,152.60,1,152.60
0.219015,50.0098,0.000000,0,0.0000,153.30,1,153.30
0.220015,50.0977,0.087891,0,0.0000,154.00,1,154.00
0.221015,50.1855,0.175781,0,0.0000,154.70,1,154.70
0.222016,50.0977,0.087891,0,0.0000,155.40,1,155.40
0.223017,50.0977,0.087891,0,0.0000,156.10,1,156.10
0.224017,50.0977,0.087891,0,0.0000,156.80,1,156.80
0.225017,50.0977,0.087891,0,0.0000,157.50,1,157.50
0.226017,50.0977,0.087891,0,0.0000,158.20,1,158.20
0.227017,50.0977,0.087891,0,0.0000,158.90,1,158.90
0.234486,50.0977,0.087891,0,0.0000,163.80,1,163.80
0.235486,50.0977,0.087891,0,0.0000,164.50,1,164.50
0.236486,50.0977,0.087891,0,0.0000,165.20,1,165.20
0.237486,50.0977,0.087891,0,0.0000,165.90,1,165.90
0.238487,50.0977,0.087891,0,0.0000,166.60,1,166.60
0.239488,50.0977,0.087891,0,0.0000,167.30,1,167.30
0.240489,50.0977,0.087891,0,0.0000,168.00,1,168.00
0.241490,50.1855,0.175781,0,0.0000,168.70,1,168.70
0.242491,50.0977,0.087891,0,0.0000,169.40,1,169.40
0.243491,50.0977,0.087891,0,0.0000,170.10,1,170.10
0.244491,50.0977,0.087891,0,0.0000,170.80,1,170.80
0.245491,50.0977,0.087891,0,0.0000,171.50,1,171.50
0.246491,50.0977,0.087891,0,0.0000,172.20,1,172.20
0.247491,50.0977,0.087891,0,0.0000,172.90,1,172.90
0.248491,50.0977,0.087891,0,0.0000,173.60,1,173.60
0.249491,50.0977,0.087891,0,0.0000,174.30,1,174.30
0.250492,50.0098,0.000000,0,0.0000,175.00,1,175.00
0.251493,50.0098,0.000000,0,0.0000,175.70,1,175.70
0.252494,50.1855,0.175781,0,0.0000,176.40,1,176.40
0.253495,50.0977,0.087891,0,0.0000,177.10,1,177.10
0.254496,50.0977,0.087891,0,0.0000,177.80,1,177.80
0.255497,50.0977,0.087891,0,0.0000,178.50,1,178.50
0.256498,50.0977,0.087891,0,0.0000,179.20,1,179.20
0.257499,50.0977,0.087891,0,0.0000,179.90,1,179.90
0.258500,50.0977,0.087891,0,0.0000,180.60,1,180.60
0.259501,50.0977,0.087891,0,0.0000,181.30,1,181.30
0.260502,50.0977,0.087891,0,0.0000,182.00,1,182.00
0.261503,50.0098,0.000000,0,0.0000,182.70,1,182.70
0.262504,50.0977,0.087891,0,0.0000,183.40,1,183.40
0.263505,50.0977,0.087891,0,0.0000,184.10,1,184.10
0.264506,50.1855,0.175781,0,0.0000,184.80,1,184.80
0.265507,50.0977,0.087891,0,0.0000,185.50,1,185.50
0.266508,50.0977,0.087891,0,0.0000,186.20,1,186.20
0.267509,50.0977,0.087891,0,0.0000,186.90,1,186.90
0.268510,50.1855,0.175781,0,0.0000,187.60,1,187.60
0.269511,50.1855,0.175781,0,0.0000,188.30,1,188.30
0.270511,50.0977,0.087891,0,0.0000,189.00,1,189.00
0.271512,50.0977,0.087891,0,0.0000,189.70,1,189.70
0.272513,50.0977,0.087891,0,0.0000,190.40,1,190.40
0.273514,50.0977,0.087891,0,0.0000,191.10,1,191.10
0.274515,50.0977,0.087891,0,0.0000,191.80,1,191.80
0.275516,50.0977,0.087891,0,0.0000,192.50,1,192.50
0.276517,50.1855,0.175781,0,0.0000,193.20,1,193.20
0.277518,50.1855,0.175781,0,0.0000,193.90,1,193.90
0.278519,50.1855,0.175781,0,0.0000,194.60,1,194.60
0.279520,50.0977,0.087891,0,0.0000,195.30,1,195.30
0.280521,50.0977,0.087891,0,0.0000,196.00,1,196.00
0.281522,50.1855,0.175781,0,0.0000,196.70,1,196.70
0.282523,50.1855,0.175781,0,0.0000,197.40,1,197.40
0.283524,50.0977,0.087891,0,0.0000,198.10,1,198.10
0.292172,50.0977,0.087891,0,0.0000,204.40,1,204.40
0.293172,50.0977,0.087891,0,0.0000,205.10,1,205.10
0.294173,50.0977,0.087891,0,0.0000,205.80,1,205.80
0.295174,50.0098,0.000000,0,0.0000,206.50,1,206.50
0.296175,50.0098,0.000000,0,0.0000,207.20,1,207.20
0.297176,50.0977,0.087891,0,0.0000,207.90,1,207.90
0.298177,50.0977,0.087891,0,0.0000,208.60,1,208.60
0.299178,50.0977,0.087891,0,0.0000,209.30,1,209.30
0.300179,50.0977,0.087891,0,0.0000,210.00,1,210.00
0.301180,50.0977,0.087891,0,0.0000,210.70,1,210.70
