t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
1.12992,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0006432511153679483
1.13997,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0004902983164685571
1.15018,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.16023,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.1704,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00017056650584289676
1.18999,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.00016923632624446465
1.20004,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0004736555605041929
1.21027,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0004736555605041982
1.22032,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00016923632624446706
1.23991,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.00016923632624446465
1.24996,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0004736555605041929
1.26019,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0004736555605041982
1.27024,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.28983,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.30018,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00017898465471878877
1.31934,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00044640729286250997
1.32956,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.000503330779190501
1.33963,0.0,0.0,0.0,0.0,-0.00307177948351,0.0,0.0,0.0,0,0.0,0.0,-0.0005021561036261147
1.34984,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0009653501967103531
1.35989,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006430286713083118
1.37948,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.38953,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.39976,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.40981,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.42938,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.43961,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.44966,0.0,0.0004913459364294,2.962815996669508e-06,0.0029628159966695,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0004736555605041928
1.45989,0.0,0.0012315059742898,9.336673268192824e-06,0.0093366732681928,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.0004520450050688916
1.4793,0.0,0.0017830727177647,2.636766883200378e-05,0.0263676688320037,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.000173864958701854
1.48953,0.0,0.0,1.5820601299202268e-05,0.0158206012992022,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.49959,0.0,-0.000172813732647,8.44925708926378e-06,0.0084492570892637,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.01279777183359876
1.50981,-12.676326357234815,-0.0014687251944846,-3.936668639021838e-06,-0.0039366686390218,-0.0414166631498254,-0.08070000000000001,-0.04940664774913182,-0.0793151519812654,1,0.6122261183287709,-7.76077808035856,-0.032171022178349794
1.52922,-12.676326357234815,-0.0094824663744575,-0.0001127948045803,-0.1127948045803458,-0.1764004274990668,-0.08070000000000001,-0.04940664774913182,-0.22995185452102448,1,0.6122261183287709,-7.76077808035856,-0.044036654251423925
1.53945,-12.676326357234815,-0.0177555481358764,-0.0001766604372062,-0.1766604372062169,-0.2469640891571976,-0.08070000000000001,-0.04940664774913182,-0.30934461428309223,1,0.6122261183287709,-7.76077808035856,-0.044210894988514174
1.54998,-12.676326357234815,-0.0205251679465748,-0.0002356742734101,-0.2356742734101889,-0.3205995302988383,-0.08070000000000001,-0.04940664774913182,-0.39106560746926733,1,0.6122261183287709,-7.76077808035856,-0.04596140770879368
1.56946,-12.676326357234815,-0.0282270162016523,-0.000471321929411,-0.4713219294110283,-0.4694063023238749,-0.08070000000000001,-0.04940664774913182,-0.5422455644746533,1,0.6122261183287709,-7.76077808035856,-0.04618459048567296
1.57968,-12.676326357234815,-0.0290087033395473,-0.0004606745265247,-0.4606745265247195,-0.5414884004312407,-0.08070000000000001,-0.04940664774913182,-0.621560716455917,1,0.6122261183287709,-7.76077808035856,-0.04642186946832708
1.59909,-12.676326357234815,-0.0303708290653011,-0.0012488986319915,-1.2488986319915454,-0.6918310621980324,-0.08070000000000001,-0.04940664774913182,-0.7721974189956761,1,0.6122261183287709,-7.76077808035856,-0.05077547093538308
1.60932,-12.676326357234815,-0.0318675851605712,-0.0019405979171164,-1.940597917116491,-0.7746643884976832,-0.08070000000000001,-0.04940664774913182,-0.8515901787577457,1,0.6122261183287709,-7.76077808035856,-0.051960478401729494
1.61939,-12.676326357234815,-0.0363676148717967,-0.0025053674660058,-2.5053674660058514,-0.857497714797334,-0.08070000000000001,-0.04940664774913182,-0.9297412140269565,1,0.6122261183287709,-7.76077808035856,-0.05248574452040678
1.6296,-12.676326357234815,-0.0353479516285079,-0.0028410376179603,-2.841037617960307,-0.94186693083874,-0.08070000000000001,-0.04940664774913182,-1.0089787582274161,1,0.6122261183287709,-7.76077808035856,-0.05354994892048315
1.64901,-12.676326357234815,-0.0339322873492858,-0.0037886902629598,-3.788690262959842,-1.1106053629215518,-0.08070000000000001,-0.04940664774913182,-1.159615460767177,1,0.6122261183287709,-7.76077808035856,-0.055354426205330196
1.65924,-12.676326357234815,-0.0394018675996708,-0.0045342893962867,-4.534289396286763,-1.199564794895703,-0.08070000000000001,-0.04940664774913182,-1.2390082205292448,1,0.6122261183287709,-7.76077808035856,-0.055865791026896684
1.66929,-12.676326357234815,-0.040369731420235,-0.0051693335252343,-5.169333525234352,-1.2885416801623737,-0.08070000000000001,-0.04940664774913182,-1.3170040402368473,1,0.6122261183287709,-7.76077808035856,-0.05664096184733119
1.68893,-12.676326357234815,-0.0389025219050819,-0.0061236077165107,-6.1236077165107154,-1.4649595609539603,-0.08070000000000001,-0.04940664774913182,-1.4694257217350901,1,0.6122261183287709,-7.76077808035856,-0.057908081532103056
1.69915,-12.676326357234815,-0.042280616211575,-0.0066086719508449,-6.608671950844941,-1.5585266621533764,-0.08070000000000001,-0.04940664774913182,-1.5487408737163537,1,0.6122261183287709,-7.76077808035856,-0.05826175356799859
1.70921,-12.676326357234815,-0.043943604622878,-0.0072267184602192,-7.226718460219288,-1.6505578736110371,-0.08070000000000001,-0.04940664774913182,-1.6268143012047604,1,0.6122261183287709,-7.76077808035856,-0.05541960196399197
1.71943,-12.676326357234815,-0.045120009401957,-0.0078183454767839,-7.818345476783985,-1.7349270896524434,-0.08070000000000001,-0.04940664774913182,-1.7061294531860258,1,0.6122261183287709,-7.76077808035856,-0.05438560292177641
1.73884,-12.676326357234815,-0.0484704145973,-0.0089729177749592,-8.972917774959205,-1.9113449704440304,-0.08070000000000001,-0.04940664774913182,-1.856766155725785,1,0.6122261183287709,-7.76077808035856,-0.05622375099883937
1.74907,-12.676326357234815,-0.0474863419222665,-0.009667149024109,-9.667149024109,-2.000304402418181,-0.08070000000000001,-0.04940664774913182,-1.9361589154878527,1,0.6122261183287709,-7.76077808035856,-0.05485720426336303
1.75913,-12.676326357234815,-0.0487551057989538,-0.0103284374068409,-10.32843740684096,-2.086209508201342,-0.08070000000000001,-0.04940664774913182,-2.0142323429762614,1,0.6122261183287709,-7.76077808035856,-0.05251675776409336
1.76935,-12.676326357234815,-0.0478309075167214,-0.0107242237427701,-10.724223742770176,-2.167506944759238,-0.08070000000000001,-0.04940664774913182,-2.093547494957525,1,0.6122261183287709,-7.76077808035856,-0.051049066208440956
1.78876,-12.676326357234815,-0.0430487554843977,-0.0117187485296583,-11.71874852965836,-2.325511601942285,-0.08070000000000001,-0.04940664774913182,-2.244184197497284,1,0.6122261183287709,-7.76077808035856,-0.049146292748867
1.79899,-12.676326357234815,-0.0471721012591351,-0.0122478904226045,-12.24789042260456,-2.4022188225674355,-0.08070000000000001,-0.04940664774913182,-2.3235769572593536,1,0.6122261183287709,-7.76077808035856,-0.046862404279527085
1.80918,-12.676326357234815,-0.0444258277272628,-0.0125474527115681,-12.547452711568186,-2.475836810416556,-0.08070000000000001,-0.04940664774913182,-2.4026592858982068,1,0.6122261183287709,-7.76077808035856,-0.046348093519797164
1.8287,-12.676326357234815,-0.0422196074883668,-0.0133780854302982,-13.378085430298292,-2.6200359132163276,-0.08070000000000001,-0.04940664774913182,-2.5541496740268057,1,0.6122261183287709,-7.76077808035856,-0.04610320693139093
1.83876,-12.676326357234815,-0.044388895536799,-0.0136499203920927,-13.64992039209272,-2.6921354646162134,-0.08070000000000001,-0.04940664774913182,-2.632223101515212,1,0.6122261183287709,-7.76077808035856,-0.044322726172722045
1.84898,-12.676326357234815,-0.0443008431559597,-0.0140912459178675,-14.091245917867557,-2.7611632365325893,-0.08070000000000001,-0.04940664774913182,-2.7115382534964776,1,0.6122261183287709,-7.76077808035856,-0.043343111857735234
1.85904,-10.414379646650165,-0.0475437797982225,-0.014631908082502,-14.631908082502056,-2.8301910084489648,-0.06630000000000001,-0.0496747743779033,-2.7900353803424163,2,0.7492424491388129,-7.802895312717574,-0.04324571052077093
1.87862,-10.414379646650165,-0.0497531251463609,-0.0157656163781291,-15.765616378129188,-2.960584556865461,-0.06630000000000001,-0.0496747743779033,-2.9428160705654256,2,0.7492424491388129,-7.802895312717574,-0.04263180241835705
1.88867,-10.414379646650165,-0.0507852298072906,-0.0164234693457685,-16.423469345768513,-3.028076439040082,-0.06630000000000001,-0.0496747743779033,-3.0212351684582384,2,0.7492424491388129,-7.802895312717574,-0.04190645974616924
1.8989,-10.414379646650165,-0.0542789345593203,-0.0168451102909392,-16.84511029093925,-3.094032431472948,-0.06630000000000001,-0.0496747743779033,-3.1010587875073385,2,0.7492424491388129,-7.802895312717574,-0.04337878255029521
1.90895,-10.414379646650165,-0.0537546154059902,-0.0173310060699731,-17.331006069973164,-3.166131982872834,-0.06630000000000001,-0.0496747743779033,-3.1794778854001495,2,0.7492424491388129,-7.802895312717574,-0.04437754742479946
1.92855,-10.414379646650165,-0.0497479403330379,-0.018409182309687,-18.409182309687036,-3.294989641547575,-0.06630000000000001,-0.0496747743779033,-3.3324146335294142,2,0.7492424491388129,-7.802895312717574,-0.041981282831036276
1.94595,-10.414379646650165,-0.0512940143697849,-0.0192438441707824,-19.243844170782495,-3.410041745839041,-0.06630000000000001,-0.0496747743779033,-3.468185011970701,2,0.7492424491388129,-7.802895312717574,-0.043904009653041025
1.95848,-10.414379646650165,-0.052367106706854,-0.0198401100712044,-19.84011007120445,-3.499018631105712,-0.06630000000000001,-0.0496747743779033,-3.5659552902390512,2,0.7492424491388129,-7.802895312717574,-0.046538498061677515
1.96853,-10.414379646650165,-0.0511020146883738,-0.0203449486415741,-20.344948641574135,-3.574172508696588,-0.06630000000000001,-0.0496747743779033,-3.644374388131862,2,0.7492424491388129,-7.802895312717574,-0.04672303190858003
1.97876,-10.414379646650165,-0.0532079002556481,-0.0209314946873294,-20.93149468732947,-3.647807949838228,-0.06630000000000001,-0.0496747743779033,-3.7241980071809646,2,0.7492424491388129,-7.802895312717574,-0.04670429793948787
1.98882,-10.414379646650165,-0.0509651485905538,-0.0215017402454691,-21.501740245469183,-3.722979280721624,-0.06630000000000001,-0.0496747743779033,-3.802695134026903,2,0.7492424491388129,-7.802895312717574,-0.04749683330414325
2.00841,-10.414379646650165,-0.049019167565746,-0.0226149135849265,-22.614913584926544,-3.868696819970631,-0.06630000000000001,-0.0496747743779033,-3.95555385320304,2,0.7492424491388129,-7.802895312717574,-0.05141558278995249
2.01845,-10.414379646650165,-0.0512160501350101,-0.0232245385898374,-23.224538589837465,-3.9530660360120367,-0.06630000000000001,-0.0496747743779033,-4.033894922142725,2,0.7492424491388129,-7.802895312717574,-0.05253156526950221
2.02868,-10.414379646650165,-0.0514157594427064,-0.02359737803823,-23.597378038230048,-4.035899362311688,-0.06630000000000001,-0.0496747743779033,-4.113718541191826,2,0.7492424491388129,-7.802895312717574,-0.0525042284303049
2.03873,-10.414379646650165,-0.0534499936579274,-0.024083688006308,-24.083688006308098,-4.120268578353094,-0.06630000000000001,-0.0496747743779033,-4.192137639084638,2,0.7492424491388129,-7.802895312717574,-0.05408488859028885
2.05832,-10.414379646650165,-0.0548161908614238,-0.0251953077828857,-25.19530778288578,-4.290542900177661,-0.06630000000000001,-0.0496747743779033,-4.344996358260776,2,0.7492424491388129,-7.802895312717574,-0.05374225282054543
2.06847,-10.414379646650165,-0.0558621366784759,-0.0257861477477915,-25.786147747791524,-4.374912116219066,-0.06630000000000001,-0.0496747743779033,-4.424195745684858,2,0.7492424491388129,-7.802895312717574,-0.05565122302025602
2.07851,-10.414379646650165,-0.0577110611106394,-0.0261481027464935,-26.148102746493553,-4.466943327676727,-0.06630000000000001,-0.0496747743779033,-4.502536814624543,2,0.7492424491388129,-7.802895312717574,-0.05782401342666627
2.08874,-10.414379646650165,-0.0570650309118991,-0.0266516978168381,-26.65169781683817,-4.5589919924269084,-0.06630000000000001,-0.0496747743779033,-4.582360433673643,2,0.7492424491388129,-7.802895312717574,-0.05748070780143836
2.10815,-10.414379646650165,-0.0545158398389453,-0.0277037407496075,-27.70374074960757,-4.735392419925975,-0.06630000000000001,-0.0496747743779033,-4.733814631693493,2,0.7492424491388129,-7.802895312717574,-0.058106617765209284
2.11838,-10.414379646650165,-0.0562940415422943,-0.0283294162090081,-28.329416209008095,-4.828976974417911,-0.06630000000000001,-0.0496747743779033,-4.813638250742592,2,0.7492424491388129,-7.802895312717574,-0.05676874505719531
2.12844,-10.414379646650165,-0.0572677478681651,-0.0288817554240175,-28.881755424017545,-4.916400516650308,-0.06630000000000001,-0.0496747743779033,-4.892135377588529,2,0.7492424491388129,-7.802895312717574,-0.05679772517256686
2.13866,-10.414379646650165,-0.058774252769469,-0.0295721866337296,-29.572186633729626,-5.009985071142243,-0.06630000000000001,-0.0496747743779033,-4.971880967684502,2,0.7492424491388129,-7.802895312717574,-0.05745099151834051
2.15807,-10.414379646650165,-0.0616997045237384,-0.030516742444886,-30.51674244488609,-5.18025939296681,-0.06630000000000001,-0.0496747743779033,-5.1233351657043515,2,0.7492424491388129,-7.802895312717574,-0.05431732227433345
2.16829,-10.414379646650165,-0.0608325844725879,-0.031007797136813,-31.00779713681301,-5.26616449874997,-0.06630000000000001,-0.0496747743779033,-5.2030807558003245,2,0.7492424491388129,-7.802895312717574,-0.05344515695670104
2.17835,-10.414379646650165,-0.0614784185947689,-0.0315284654725936,-31.528465472593677,-5.350516261498857,-0.06630000000000001,-0.0496747743779033,-5.281577882646264,2,0.7492424491388129,-7.802895312717574,-0.031616648036229905
2.18853,4.41393767829366,-0.0473715212207753,-0.0317591279910405,-31.75912799104055,-5.3658577056238865,0.028100000000000007,-0.005637482690511877,-5.290592615816738,3,-0.20062215980469308,-0.8855337102625866,-0.006517122452441219
2.20847,4.41393767829366,-0.0346666212799299,-0.0324416653290672,-32.44166532906721,-5.367393595365642,0.028100000000000007,-0.005637482690511877,-5.308250157999374,3,-0.20062215980469308,-0.8855337102625866,8.760897860068252e-06
2.22806,4.41393767829366,-0.028320841046509,-0.0333415887233794,-33.34158872337946,-5.3658577056238865,0.028100000000000007,-0.005637482690511877,-5.325597763383418,3,-0.20062215980469308,-0.8855337102625866,0.0008042229876749905
2.23812,4.41393767829366,-0.0247657656321895,-0.033698145755662,-33.69814575566203,-5.364339269174652,0.028100000000000007,-0.005637482690511877,-5.334506232508659,3,-0.20062215980469308,-0.8855337102625866,0.00048424116706704493
2.24834,4.41393767829366,-0.0231298403485048,-0.0341649713592325,-34.16497135923259,-5.364339269174652,0.028100000000000007,-0.005637482690511877,-5.343556387027543,3,-0.20062215980469308,-0.8855337102625866,-0.0004849621322759252
2.25839,4.41393767829366,-0.020356699931687,-0.034230576417541,-34.230576417541066,-5.3658577056238865,0.028100000000000007,-0.005637482690511877,-5.352456000815682,3,-0.20062215980469308,-0.8855337102625866,-0.0006358315225442592
2.27799,4.41393767829366,-0.0177599673592068,-0.034509581429329,-34.50958142932905,-5.3658577056238865,0.028100000000000007,-0.005637482690511877,-5.369812461536829,3,-0.20062215980469308,-0.8855337102625866,-3.6187644375762683e-16
2.28804,4.41393767829366,-0.0168186047935365,-0.0344857966828462,-34.485796682846214,-5.3658577056238865,0.028100000000000007,-0.005637482690511877,-5.378712075324968,3,-0.20062215980469308,-0.8855337102625866,0.000468962547680835
2.29826,4.41393767829366,-0.0156196602476416,-0.03446588940469,-34.465889404690024,-5.364339269174652,0.028100000000000007,-0.005637482690511877,-5.387762229843851,3,-0.20062215980469308,-0.8855337102625866,-1.5043463939159416e-05
