t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.153889,52.9102,-203.466797,295,207.4219,2000.00,1,2000.00
0.154889,51.5918,-204.785156,297,208.8281,2000.00,1,2000.00
0.155889,50.4492,-205.927734,298,209.5312,2000.00,1,2000.00
0.156889,49.2188,-207.158203,300,210.9375,2000.00,1,2000.00
0.157890,47.9883,-208.388672,302,212.3437,2000.00,1,2000.00
0.158891,46.6699,-209.707031,304,213.7500,2000.00,1,2000.00
0.159891,45.3516,-211.025391,306,215.1562,2000.00,1,2000.00
0.160891,44.2090,-212.167969,308,216.5625,2000.00,1,2000.00
0.161891,43.0664,-213.310547,310,217.9687,2000.00,1,2000.00
0.162891,41.6602,-214.716797,312,219.3750,2000.00,1,2000.00
0.163891,40.4297,-215.947266,314,220.7812,2000.00,1,2000.00
0.164891,39.0234,-217.353516,316,222.1875,2000.00,1,2000.00
0.165891,37.7051,-218.671875,317,222.8906,2000.00,1,2000.00
0.166892,36.5625,-219.814453,320,225.0000,2000.00,1,2000.00
0.167893,35.1563,-221.220703,321,225.7031,2000.00,1,2000.00
0.176383,23.7305,-232.646484,338,237.6562,2000.00,1,2000.00
0.177383,22.5000,-233.876953,340,239.0625,2000.00,1,2000.00
0.178384,21.0059,-235.371094,342,240.4687,2000.00,1,2000.00
0.179385,19.6875,-236.689453,343,241.1719,2000.00,1,2000.00
0.180386,18.1055,-238.271484,345,242.5781,2000.00,1,2000.00
0.181387,16.7871,-239.589844,347,243.9844,2000.00,1,2000.00
0.182387,15.5566,-240.820312,349,245.3906,2000.00,1,2000.00
0.183387,13.9746,-242.402344,351,246.7969,2000.00,1,2000.00
0.184387,12.4805,-243.896484,353,248.2031,2000.00,1,2000.00
0.185387,11.1621,-245.214844,355,249.6094,2000.00,1,2000.00
0.186387,9.6680,-246.708984,357,251.0156,2000.00,1,2000.00
0.187387,8.0859,-248.291016,359,252.4219,2000.00,1,2000.00
0.188387,6.8555,-249.521484,361,253.8281,2000.00,1,2000.00
0.189388,5.3613,-251.015625,362,254.5312,2000.00,1,2000.00
0.190389,3.9551,-252.421875,365,256.6406,2000.00,1,2000.00
0.197591,353.0566,-263.320312,378,265.7812,2000.00,1,2000.00
0.198592,351.6504,-264.726562,380,267.1875,2000.00,1,2000.00
0.199592,350.0684,-266.308594,382,268.5937,2000.00,1,2000.00
0.200592,348.5742,-267.802734,384,270.0000,2000.00,1,2000.00
0.201592,346.9922,-269.384766,386,271.4062,2000.00,1,2000.00
0.202592,345.4980,-270.878906,388,272.8125,2000.00,1,2000.00
0.203592,344.1797,-272.197266,390,274.2187,2000.00,1,2000.00
0.204592,342.5977,-273.779297,391,274.9219,2000.00,1,2000.00
0.205592,341.1914,-275.185547,394,277.0312,2000.00,1,2000.00
0.206593,339.6094,-276.767578,396,278.4375,2000.00,1,2000.00
0.207594,337.8516,-278.525391,397,279.1406,2000.00,1,2000.00
0.208594,336.5332,-279.843750,399,280.5469,2000.00,1,2000.00
0.209594,335.0391,-281.337891,401,281.9531,2000.00,1,2000.00
0.210594,333.4570,-282.919922,403,283.3594,2000.00,1,2000.00
0.211594,332.0508,-284.326172,405,284.7656,2000.00,1,2000.00
0.212594,330.4687,-285.908203,407,286.1719,2000.00,1,2000.00
0.213594,329.0625,-287.314453,409,287.5781,2000.00,1,2000.00
0.214594,327.4805,-288.896484,411,288.9844,2000.00,1,2000.00
0.215595,325.9863,-290.390625,413,290.3906,2000.00,1,2000.00
0.217622,323.0859,-293.291016,417,293.2031,2000.00,1,2000.00
0.218622,321.5039,-294.873047,419,294.6094,2000.00,1,2000.00
0.219622,320.0977,-296.279297,420,295.3125,2000.00,1,2000.00
0.220622,318.6035,-297.773437,422,296.7187,2000.00,1,2000.00
0.221622,317.1094,-299.267578,424,298.1250,2000.00,1,2000.00
0.222623,315.7910,-300.585937,426,299.5312,2000.00,1,2000.00
0.223624,314.2090,-302.167969,428,300.9375,2000.00,1,2000.00
0.224625,312.8027,-303.574219,430,302.3437,2000.00,1,2000.00
0.225626,311.5723,-304.804687,432,303.7500,2000.00,1,2000.00
0.226627,310.0781,-306.298828,434,305.1562,2000.00,1,2000.00
0.227627,308.4961,-307.880859,436,306.5625,2000.00,1,2000.00
0.228627,307.1777,-309.199219,438,307.9687,2000.00,1,2000.00
0.229627,305.7715,-310.605469,439,308.6719,2000.00,1,2000.00
0.230627,304.6289,-311.748047,441,310.0781,2000.00,1,2000.00
0.231627,303.1348,-313.242187,443,311.4844,2000.00,1,2000.00
0.232627,301.5527,-314.824219,445,312.8906,2000.00,1,2000.00
0.233627,300.3223,-316.054687,447,314.2969,2000.00,1,2000.00
0.234628,298.9160,-317.460937,449,315.7031,2000.00,1,2000.00
0.235629,297.5098,-318.867187,451,317.1094,2000.00,1,2000.00
0.236629,296.2793,-320.097656,453,318.5156,2000.00,1,2000.00
0.237629,294.9609,-321.416016,455,319.9219,2000.00,1,2000.00
0.238629,293.6426,-322.734375,457,321.3281,2000.00,1,2000.00
0.239629,292.2363,-324.140625,459,322.7344,2000.00,1,2000.00
0.240629,290.9180,-325.458984,461,324.1406,2000.00,1,2000.00
0.241629,289.6875,-326.689453,462,324.8437,2000.00,1,2000.00
0.242629,288.3691,-328.007812,465,326.9531,2000.00,1,2000.00
0.243630,286.9629,-329.414062,466,327.6562,2000.00,1,2000.00
0.244630,285.7324,-330.644531,468,329.0625,2000.00,1,2000.00
0.245630,284.5020,-331.875000,470,330.4687,2000.00,1,2000.00
0.246630,283.0957,-333.281250,472,331.8750,2000.00,1,2000.00
0.247630,281.8652,-334.511719,474,333.2812,2000.00,1,2000.00
0.254856,272.8125,-343.564453,488,343.1250,2000.00,1,2000.00
0.255856,271.4062,-344.970703,490,344.5312,2000.00,1,2000.00
0.256857,270.1758,-346.201172,492,345.9375,2000.00,1,2000.00
0.257858,269.1211,-347.255859,494,347.3437,2000.00,1,2000.00
0.258859,267.8027,-348.574219,496,348.7500,2000.00,1,2000.00
0.259860,266.6602,-349.716797,498,350.1562,2000.00,1,2000.00
0.260861,265.3418,-351.035156,499,350.8594,2000.00,1,2000.00
0.261862,264.1992,-352.177734,501,352.2656,2000.00,1,2000.00
0.262863,263.0566,-353.320312,503,353.6719,2000.00,1,2000.00
0.263864,261.6504,-354.726562,505,355.0781,2000.00,1,2000.00
0.264865,260.3320,-356.044922,507,356.4844,2000.00,1,2000.00
0.265866,259.1895,-357.187500,509,357.8906,2000.00,1,2000.00
0.266867,257.9590,-358.417969,511,359.2969,2000.00,1,2000.00
0.267868,256.7285,-359.648437,513,360.7031,2000.00,1,2000.00
0.268869,255.5859,-360.791016,515,362.1094,2000.00,1,2000.00
0.269870,254.2676,-362.109375,517,363.5156,2000.00,1,2000.00
0.270871,253.0371,-363.339844,519,364.9219,2000.00,1,2000.00
0.271872,251.8066,-364.570312,521,366.3281,2000.00,1,2000.00
0.272873,250.5762,-365.800781,522,367.0312,2000.00,1,2000.00
0.273874,249.4336,-366.943359,524,368.4375,2000.00,1,2000.00
0.274874,248.1152,-368.261719,526,369.8437,2000.00,1,2000.00
0.275875,246.7969,-369.580078,528,371.2500,2000.00,1,2000.00
0.276876,245.6543,-370.722656,530,372.6562,2000.00,1,2000.00
0.277877,244.4238,-371.953125,532,374.0625,2000.00,1,2000.00
0.278878,243.1055,-373.271484,534,375.4687,2000.00,1,2000.00
0.279879,241.9629,-374.414062,536,376.8750,2000.00,1,2000.00
0.280880,240.6445,-375.732422,538,378.2812,2000.00,1,2000.00
0.281881,239.5020,-376.875000,540,379.6875,2000.00,1,2000.00
0.282882,238.1836,-378.193359,542,381.0937,2000.00,1,2000.00
0.283883,236.8652,-379.511719,544,382.5000,2000.00,1,2000.00
0.284884,235.8105,-380.566406,546,383.9062,2000.00,1,2000.00
0.285885,234.4922,-381.884766,548,385.3125,2000.00,1,2000.00
0.286886,233.0859,-383.291016,550,386.7187,2000.00,1,2000.00
0.287887,231.8555,-384.521484,552,388.1250,2000.00,1,2000.00
0.288888,230.6250,-385.751953,553,388.8281,2000.00,1,2000.00
0.289889,229.3066,-387.070312,555,390.2344,2000.00,1,2000.00
0.290890,228.0762,-388.300781,558,392.3437,2000.00,1,2000.00
0.291891,226.6699,-389.707031,559,393.0469,2000.00,1,2000.00
0.292892,225.4395,-390.937500,561,394.4531,2000.00,1,2000.00
0.293893,224.1211,-392.255859,563,395.8594,2000.00,1,2000.00
