t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
1.50797,-5.215043804959057,-0.0072420027107199,-0.0001409768362192,-0.140976836219264,-0.4433136300065596,-0.03320000000000001,-0.04661512726305017,-0.5115367650981216,1,1.4040700982846435,-7.322287067787585,-0.049889081486792164
1.52756,-5.215043804959057,-0.0077459682215061,-0.0001756322122071,-0.1756322122071419,-0.5921204020315963,-0.03320000000000001,-0.04661512726305017,-0.6549803687560803,1,1.4040700982846435,-7.322287067787585,-0.04979034028908416
1.53761,-5.215043804959057,-0.0074370641686325,-0.000234460071136,-0.2344600711360415,-0.6718819488477371,-0.03320000000000001,-0.04661512726305017,-0.7285693537873448,1,1.4040700982846435,-7.322287067787585,-0.048647297359880534
1.54785,-5.215043804959057,-0.0074642094130468,-0.0003252765519328,-0.3252765519328716,-0.7470532797311328,-0.03320000000000001,-0.04661512726305017,-0.8035495733614898,1,1.4040700982846435,-7.322287067787585,-0.04818190759793915
1.55789,-5.215043804959057,-0.0072872267825216,-0.0003778045919151,-0.3778045919151203,-0.8252789368055187,-0.03320000000000001,-0.04661512726305017,-0.8770653355220774,1,1.4040700982846435,-7.322287067787585,-0.049516537261443665
1.57748,-5.215043804959057,-0.0060758287905592,-0.0005408937583339,-0.5408937583339074,-0.9771400350215452,-0.03320000000000001,-0.04661512726305017,-1.0205089391800362,1,1.4040700982846435,-7.322287067787585,-0.048174223647286636
1.58754,-5.215043804959057,-0.0070152732914093,-0.0006096761561678,-0.6096761561678931,-1.052311365904941,-0.03320000000000001,-0.04661512726305017,-1.0941711470819788,1,1.4040700982846435,-7.322287067787585,-0.048144492091714806
1.59776,-5.215043804959057,-0.007345808109076,-0.0006833759877385,-0.6833759877385108,-1.130537022979327,-0.03320000000000001,-0.04661512726305017,-1.1690049209147688,1,1.4040700982846435,-7.322287067787585,-0.0486586058627151
1.60781,-5.215043804959057,-0.0076810002793393,-0.0007685079392168,-0.7685079392168673,-1.2072442436044777,-0.03320000000000001,-0.04661512726305017,-1.2425939059460334,1,1.4040700982846435,-7.322287067787585,-0.0485272969918275
1.61849,-5.215043804959057,-0.0077525318143049,-0.0008625890184619,-0.8625890184619562,-1.2885416801623737,-0.03320000000000001,-0.04661512726305017,-1.3207959318300049,1,1.4040700982846435,-7.322287067787585,-0.04899057040711606
1.63727,-5.215043804959057,-0.0073239127729041,-0.0009865703929223,-0.986570392922399,-1.4358125624456552,-0.03320000000000001,-0.04661512726305017,-1.4583084829630557,1,1.4040700982846435,-7.322287067787585,-0.04968151437150971
1.64732,-5.215043804959057,-0.0079712291262237,-0.0010710950108031,-1.0710950108031876,-1.514038219520041,-0.03320000000000001,-0.04661512726305017,-1.53189746799432,1,1.4040700982846435,-7.322287067787585,-0.05006747579763377
1.65755,-5.215043804959057,-0.0079973188256482,-0.0011674259435508,-1.1674259435508398,-1.595335656077937,-0.03320000000000001,-0.04661512726305017,-1.6068044646977881,1,1.4040700982846435,-7.322287067787585,-0.0500730527779524
1.6676,-5.215043804959057,-0.0083417089047673,-0.0012759876101638,-1.2759876101638783,-1.6735787664448425,-0.03320000000000001,-0.04661512726305017,-1.6803934497290525,1,1.4040700982846435,-7.322287067787585,-0.04949116827418581
1.68719,-5.215043804959057,-0.0082715218506632,-0.0014375977184891,-1.4375977184891815,-1.8254398646608696,-0.03320000000000001,-0.04661512726305017,-1.8238370533870112,1,1.4040700982846435,-7.322287067787585,-0.05205597581542632
1.69724,-5.215043804959057,-0.0078270768067307,-0.0015489527775829,-1.5489527775829453,-1.9098090807022752,-0.03320000000000001,-0.04661512726305017,-1.8974260384182773,1,1.4040700982846435,-7.322287067787585,-0.0510608780754136
1.70748,-5.215043804959057,-0.0084338870557297,-0.0016748915017076,-1.6748915017076045,-1.9880347377766612,-0.03320000000000001,-0.04661512726305017,-1.9724062579924224,1,1.4040700982846435,-7.322287067787585,-0.05059721000531115
1.71752,-5.215043804959057,-0.0083173671760225,-0.0017487407539803,-1.7487407539803546,-2.0708680640763117,-0.03320000000000001,-0.04661512726305017,-2.0459220201530086,1,1.4040700982846435,-7.322287067787585,-0.05229382134065642
