t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.81095,255.762,0.000,0,0.000,0.007,0.013,0.010,0.007,0.008,0.0,1,0.0,0.780,0.00,0.00,0.00,0.00,0.000.00
0.83053,255.762,0.000,0,0.000,0.010,0.013,0.010,0.010,0.011,0.0,1,0.0,0.808,0.00,0.00,0.00,0.00,0.000.00
0.84059,255.850,0.088,0,0.000,0.011,0.014,0.008,0.011,0.010,0.0,1,0.0,0.808,0.00,0.00,0.00,0.00,0.000.00
0.85082,255.762,0.000,0,0.000,0.011,0.014,0.007,0.011,0.009,0.0,1,0.0,0.825,0.00,0.00,0.00,0.00,0.000.00
0.86087,255.762,0.000,0,0.000,0.009,0.014,0.008,0.009,0.010,0.0,1,0.0,0.836,0.00,0.00,0.00,0.00,0.000.00
0.88046,255.762,0.000,0,0.000,0.007,0.014,0.005,0.007,0.010,0.0,1,0.0,0.860,0.00,0.00,0.00,0.00,0.000.00
0.89051,255.762,0.000,0,0.000,0.007,0.014,0.003,0.007,0.010,0.0,1,0.0,0.870,0.00,0.00,0.00,0.00,0.000.00
0.90074,255.762,0.000,0,0.000,0.005,0.014,0.002,0.005,0.013,0.0,1,0.0,0.881,0.00,0.00,0.00,0.00,0.000.00
0.91088,255.762,0.000,0,0.000,0.006,0.014,0.001,0.006,0.013,0.0,1,0.0,0.894,0.00,0.00,0.00,0.00,0.000.00
0.93029,255.762,0.000,0,0.000,0.005,0.014,0.007,0.005,0.011,0.0,1,0.0,0.908,0.00,0.00,0.00,0.00,0.000.00
0.94051,255.762,0.000,0,0.000,0.006,0.014,0.008,0.006,0.010,0.0,1,0.0,0.920,0.00,0.00,0.00,0.00,0.000.00
0.95057,255.850,0.088,0,0.000,0.007,0.014,0.008,0.007,0.011,0.0,1,0.0,0.920,0.00,0.00,0.00,0.00,0.000.00
0.96079,255.762,0.000,0,0.000,0.007,0.014,0.007,0.007,0.010,0.0,1,0.0,0.933,0.00,0.00,0.00,0.00,0.000.00
0.98021,255.850,0.088,0,0.000,0.006,0.015,0.004,0.006,0.013,0.0,1,0.0,0.960,0.00,0.00,0.00,0.00,0.000.00
0.99021,255.762,0.000,0,0.000,0.007,0.015,0.002,0.007,0.011,0.0,1,0.0,0.971,0.00,0.00,0.00,0.00,0.000.00
1.00044,255.850,0.088,0,0.000,0.009,0.015,0.002,0.009,0.011,0.0,1,0.0,0.971,0.00,0.00,0.00,0.00,0.000.00
1.01049,255.850,0.088,0,0.000,0.008,0.015,0.002,0.008,0.013,0.0,1,0.0,0.985,0.00,0.00,0.00,0.00,0.000.00
1.03008,255.762,0.000,0,0.000,0.005,0.015,0.007,0.005,0.011,0.0,1,0.0,1.001,0.00,0.00,0.00,0.00,0.000.00
1.04060,255.850,0.088,0,0.000,0.005,0.015,0.004,0.005,0.011,0.0,1,0.0,1.014,0.00,0.00,0.00,0.00,0.000.00
1.06039,255.762,0.000,0,0.000,0.008,0.015,0.003,0.008,0.005,0.0,1,0.0,1.033,0.00,0.00,0.00,0.00,0.000.00
1.07998,255.762,0.000,0,0.000,0.005,0.015,0.004,0.005,0.004,0.0,1,0.0,1.057,0.00,0.00,0.00,0.00,0.000.00
1.09003,255.762,0.000,0,0.000,0.004,0.015,0.005,0.004,0.004,0.0,1,0.0,1.068,0.00,0.00,0.00,0.00,0.000.00
1.10026,255.850,0.088,0,0.000,0.004,0.015,0.006,0.004,0.005,0.0,1,0.0,1.078,0.00,0.00,0.00,0.00,0.000.00
1.11031,255.850,0.088,0,0.000,0.005,0.015,0.004,0.005,0.007,0.0,1,0.0,1.089,0.00,0.00,0.00,0.00,0.000.00
1.12992,255.850,0.088,0,0.000,0.004,0.015,0.005,0.004,0.010,0.0,1,0.0,1.109,0.00,0.00,0.00,0.00,0.000.00
1.13997,255.762,0.000,0,0.000,0.005,0.016,0.004,0.005,0.008,0.0,1,0.0,1.122,0.00,0.00,0.00,0.00,0.000.00
1.15018,255.762,0.000,0,0.000,0.006,0.016,0.002,0.006,0.011,0.0,1,0.0,1.122,0.00,0.00,0.00,0.00,0.000.00
1.16023,255.762,0.000,0,0.000,0.002,0.016,0.003,0.002,0.012,0.0,1,0.0,1.135,0.00,0.00,0.00,0.00,0.000.00
1.17040,255.762,0.000,0,0.000,0.003,0.016,0.002,0.003,0.010,0.0,1,0.0,1.146,0.00,0.00,0.00,0.00,0.000.00
1.18999,255.850,0.088,0,0.000,0.007,0.016,0.005,0.007,0.006,0.0,1,0.0,1.168,0.00,0.00,0.00,0.00,0.000.00
1.20004,255.850,0.088,0,0.000,0.006,0.016,0.004,0.006,0.009,0.0,1,0.0,1.180,0.00,0.00,0.00,0.00,0.000.00
1.21027,255.762,0.000,0,0.000,0.007,0.016,0.005,0.007,0.012,0.0,1,0.0,1.189,0.00,0.00,0.00,0.00,0.000.00
